experimentId;device_id;motion_tag;userPhoneLocation;timestamp;pressure
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3301
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3108
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3345
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.30225
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.313
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.32837
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3364
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3638
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3845
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.36475
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.34546
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.36206
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.37134
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3977
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.37256
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.37646
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.38477
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3799
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.3025
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.26465
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.28906
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.27783
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.2561
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.2532
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.2798
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.2505
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.2141
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.2295
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1.61778E+12;978.25195
